Round,CWND,SSThresh,RTT,PacketLoss
1,2,8,60,0
2,4,8,8,0
3,8,8,16,0
4,9,8,29,0
5,10,8,30,0
6,1,5,111,1
7,2,5,65,0
8,4,5,14,0
9,8,5,24,0
10,9,5,24,0
11,10,5,24,0
